date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:51	332/332	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Mar%202016%2008:16:51%20GMT	http://aetos.it.teithe.gr/~iliou/cs4601	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601.0.delayed	(from )
10:16:52	241/241	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Mar%202016%2008:16:51%20GMT	http://aetos.it.teithe.gr/robots.txt		(from )
10:16:52	25477/25477	---M-Z	200	added ('OK')	text/html	etag:%22c0d2d9f-6385-50f88b6c6bd00%22	http://aetos.it.teithe.gr/~iliou/cs4601/	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/index.html	(from )
10:16:52	831/831	---M--	200	added ('OK')	image/gif	etag:%221e92da09-33f-43b9294874680%22	http://aetos.it.teithe.gr/~iliou/cs4601/_themes/dbd-cool-tabs-blue/background.gif	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/_themes/dbd-cool-tabs-blue/background.gif	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:52	4469/4469	---M--	200	added ('OK')	image/gif	etag:%22c0d2d85-1175-45776060b3d80%22	http://aetos.it.teithe.gr/~iliou/cs4601/a_ogo_pliroforiki_red_13.gif	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/a_ogo_pliroforiki_red_13.gif	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:52	3750/3750	---M--	200	added ('OK')	image/gif	etag:%22c0d2d9e-ea6-43b92d8e51b40%22	http://aetos.it.teithe.gr/~iliou/cs4601/index.2.gif	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/index.2.gif	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:52	463/463	---M--	200	added ('OK')	image/gif	etag:%22e119c0b-1cf-43b92ccad0e00%22	http://aetos.it.teithe.gr/~iliou/cs4601/_derived/syllabus.htm_cmp_dbd-cool-tabs-blue110_hbtn.gif	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/_derived/syllabus.htm_cmp_dbd-cool-tabs-blue110_hbtn.gif	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:53	473/473	---M--	200	added ('OK')	image/gif	etag:%22e119c0c-1d9-43b92ccad0e00%22	http://aetos.it.teithe.gr/~iliou/cs4601/_derived/syllabus.htm_cmp_dbd-cool-tabs-blue110_hbtn_a.gif	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/_derived/syllabus.htm_cmp_dbd-cool-tabs-blue110_hbtn_a.gif	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:53	34717/34717	---M-Z	200	added ('OK')	text/html	etag:%22c0d2dbe-879d-50f89570d9f40%22	http://aetos.it.teithe.gr/~iliou/cs4601/syllabus.htm	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/syllabus.html	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:53	435/435	---M--	200	added ('OK')	image/gif	etag:%22e1187a5-1b3-43b92cc518080%22	http://aetos.it.teithe.gr/~iliou/cs4601/_derived/lecture.htm_cmp_dbd-cool-tabs-blue110_hbtn.gif	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/_derived/lecture.htm_cmp_dbd-cool-tabs-blue110_hbtn.gif	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:53	444/444	---M--	200	added ('OK')	image/gif	etag:%22e1187a6-1bc-43b92cc518080%22	http://aetos.it.teithe.gr/~iliou/cs4601/_derived/lecture.htm_cmp_dbd-cool-tabs-blue110_hbtn_a.gif	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/_derived/lecture.htm_cmp_dbd-cool-tabs-blue110_hbtn_a.gif	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:54	55799/55799	---M-Z	200	added ('OK')	text/html	etag:%22c0d2da8-d9f7-5179ebe910540%22	http://aetos.it.teithe.gr/~iliou/cs4601/lecture.htm	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/lecture.html	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:54	492/492	---M--	200	added ('OK')	image/gif	etag:%22e11879d-1ec-4645f11f85240%22	http://aetos.it.teithe.gr/~iliou/cs4601/_derived/lab1.htm_cmp_dbd-cool-tabs-blue110_hbtn.gif	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/_derived/lab1.htm_cmp_dbd-cool-tabs-blue110_hbtn.gif	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:54	503/503	---M--	200	added ('OK')	image/gif	etag:%22e11879e-1f7-4645f11f85240%22	http://aetos.it.teithe.gr/~iliou/cs4601/_derived/lab1.htm_cmp_dbd-cool-tabs-blue110_hbtn_a.gif	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/_derived/lab1.htm_cmp_dbd-cool-tabs-blue110_hbtn_a.gif	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
10:16:54	37482/37482	---M-Z	200	added ('OK')	text/html	etag:%22c0d2da5-926a-50f890686ff80%22	http://aetos.it.teithe.gr/~iliou/cs4601/lab1.htm	F:/Lab4-iliou/aetos.it.teithe.gr/_iliou/cs4601/lab1.html	(from http://aetos.it.teithe.gr/~iliou/cs4601/)
